# WELL TRACE FROM PETREL 
# WELL NAME:              JY68-4HF
# DEFINITIVE SURVEY:      JY68-4HF
# WELL HEAD X-COORDINATE: 751465.40000000 (m)
# WELL HEAD Y-COORDINATE: 3296459.90000000 (m)
# WELL DATUM (KB, Kelly bushing, from MSL): 639.17000000 (m)
# WELL TYPE:              UNDEFINED
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# ANGLES ARE GIVEN IN DEGREES
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM <Undefined>
# AZIMUTH REFERENCE UNDEFINED
# DX DY ARE UNDEFINED IN m-UNITS
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
#================================================================================================================================
      MD            X            Y            Z           TVD           DX          DY          AZIM         INCL         DLS
 4443.0700000 752026.27905 3294075.8154 -1776.192081 2415.3620813 560.87904694 -2384.084612 178.92000228 90.500000190 1.8890545091
 4447.9000000 752026.36798 3294070.9863 -1776.162577 2415.3325767 560.96797589 -2388.913697 178.97000000 90.200000000 1.8890545091
 4452.6750000 752026.45798 3294066.2122 -1776.143825 2415.3138253 561.05797646 -2393.687812 178.87000038 90.250000381 0.7024243105
 4457.4500000 752026.55631 3294061.4383 -1776.120907 2415.2909071 561.15630891 -2398.461743 178.77000000 90.300000000 0.7024243105
 4462.2700000 752026.66188 3294056.6195 -1776.093567 2415.2635666 561.26187546 -2403.280509 178.72000027 90.350000133 0.4401038215
 4467.0900000 752026.77165 3294051.8008 -1776.062020 2415.2320200 561.37164655 -2408.099155 178.67000000 90.400000000 0.4401038215
 4471.8650000 752026.88664 3294047.0274 -1776.026601 2415.1966010 561.48664068 -2412.872638 178.57000069 90.450000685 0.7024123282
 4476.6400000 752027.00997 3294042.2541 -1775.987015 2415.1570152 561.60996508 -2417.645881 178.47000000 90.500000000 0.7024123282
 4481.4800000 752027.14341 3294037.4160 -1775.959561 2415.1295613 561.74341475 -2422.483954 178.36999840 90.150000228 2.2562307611
 4486.3200000 752027.28531 3294032.5781 -1775.961673 2415.1316732 561.88531044 -2427.321865 178.27000000 89.800000000 2.2562307611
 4491.1000000 752027.43378 3294027.8005 -1775.984615 2415.1546155 562.03378428 -2432.099502 178.17000160 89.649999467 1.1314422519
 4495.8800000 752027.59059 3294023.0232 -1776.020072 2415.1900715 562.19059392 -2436.876796 178.07000000 89.500000000 1.1314422519
 4500.6300000 752027.74435 3294018.2759 -1776.059450 2415.2294501 562.34434698 -2441.624142 178.22000103 89.549998458 0.9985861642
 4505.3800000 752027.88567 3294013.5281 -1776.094684 2415.2646837 562.48567198 -2446.371907 178.37000000 89.600000000 0.9985861642
 4510.2050000 752028.01871 3294008.7050 -1776.126263 2415.2962631 562.61870739 -2451.194968 178.47000053 89.649999467 0.6951402200
 4515.0300000 752028.14333 3294003.8817 -1776.153632 2415.3236319 562.74332543 -2456.018280 178.57000000 89.700000000 0.6951402200
 4519.8200000 752028.25659 3293999.0932 -1776.193342 2415.3633421 562.85659109 -2460.806767 178.71998960 89.349997773 2.3848715168
 4524.6100000 752028.35731 3293994.3048 -1776.262311 2415.4323108 562.95731327 -2465.595203 178.87000000 89.000000000 2.3848715168
 4529.3950000 752028.44332 3293989.5213 -1776.343733 2415.5137334 563.04331538 -2470.378734 179.07000289 89.049994213 1.2923422342
